step	loss
0	9.986093571605206
1	8.946047564198258
2	7.415431151367639
3	6.0574043921668
4	5.29844755652034
5	4.709407268407999
6	3.0891105139557777
7	2.1850067697149615
8	1.9193504589476444
9	0.9546688353180511
